khach_cmt,rating,shop_phan_hoi,shop,dvvc,sản phẩm
"màu thực tế nhạt hơn nhiều, không tươi như ảnh. đơn vị vận chuyển shopee rất chậm.",4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,1,1
"áo mình đặt đỏ tươi mà ship về màu đỏ đô nên chưa hài lòng lắm, nhưng vẫn rất dễ thương ",4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
như này có phải áo nỉ không nhưng cũng đẹp áo có hai lớp nên dày. nói chung giống hình quảng cáo nhưng không đẹp như hình quảng cáo tưởng tượng. xin cảm ơn,4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
hàng như hình có điều giao lâu quá,4,cảm ơn mom đã tin tưởng ủng hộ. nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. chúc chị 1 ngày tốt lành!,0,1,1
"màu không được đỏ tươi như mẫu. chắc do lúc chụp lên ánh sáng ảnh làm màu sắc áo khác hẳn ở ngoài. Được cái chất nỉ, ấm.",4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
"size áo nhỏ , con mình 23 kg cứ nghĩ áo rộng nhưng vừa in,",4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
chất lượng bình thường. Không đẹp lắm. được cái shop làm ăn cũng uy tín.giao sai size cho mình nhưng cũng đã đổi lại size khách đặt.nhưng dù sao cũng không thích lắm vì tự nhiên mất thời gian và tiền cho khoản đi bưu điện gửi đồ.,4,cảm ơn mom đã tin tưởng ủng hộ. nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. chúc chị 1 ngày tốt lành!,0,0,1
hàng mặc bị xổ lông,4,cảm ơn mom đã tin tưởng ủng hộ. nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. chúc chị 1 ngày tốt lành!,0,0,1
áo vừa và đẹp nhưng hàng về thì áo bị nhăn đùng,4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
chất cũng ổn,4,,0,0,2
hơi mỏng,4,cảm ơn chị đã tin tưởng. shop sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ chị tốt hơn. mong chị tiếp tục ủng hộ shop trong thời gian tới chị nha,0,0,1
không thích lắm,4,cảm ơn mom đã tin tưởng ủng hộ. nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. chúc chị 1 ngày tốt lành!,0,0,1
tạm được,4,cảm ơn mom đã tin tưởng ủng hộ. nhím store sẽ ngày càng nâng cao chất lượng và dịch vụ để phục vụ được tốt hơn. chúc chị 1 ngày tốt lành!,0,0,1
"size 9-10y ghi cho bé 33-40kg mà con mình 36kg kéo không qua nổi cái đùi. cho nhỏ cháu 29kg thì vừa,haiz. còn size 1 thì chuẩn",4,,0,0,2
không giống hình ảnh shop chụp ! .,4,,0,0,2
"màu nhạt hơn hình, chất hơi cứng, nhiều chỉ thừa đường may dễ bục",4,,0,0,2
"mua lần 2, chất lượng không bằng lần 1, chuẩn bị hàng rất lâu, không hài lòng với cách phục vụ của shop lắm",4,,1,0,1
xinh lắm ạ giao hàng nhanh đồ rẻ mà đẹp lắm ý đúng size nhưng mà màu không giống trong ảnh xanh đậm không giống,4,,0,1,1
"giao thiếu không báo trước,sản phẩm cho bé nhưng hàng may tệ",4,,1,0,2
size 17-19kg mà còn bé hơn hai áo mình đặt size từ 14-17kg nữa! đổi bộ cho đứa bé thành đứa lớn luôn,4,,0,0,1
được nhé,4,,0,0,2
"áo chất cũng, khá hài lòng cách giao hàng nhanh",4,,0,1,1
ảnh mang tính chất nhận xu.màu vải không được giống trong ảnh. Với chất vải này giá cũng tạm được,4,,0,0,1
"bộ như hình, khá đẹp, nhưng với bé nhà mình quần áo vẫn hơi rộng.",4,,0,0,1
chất nỉ oke. phù hợp với giá tiền. đóng gói sản phẩm tốt. bé 3 tháng 6kg nhg chắc mùa sau mặc mới vừa.,4,,0,0,1
"vãi không giống như ảnh, nên xem ảnh đánh giá trước khi mua",4,,0,0,1
đã nhận được hàng giao hàng nhanh nhưng không hài lòng về shop lắm. áo mình đặt kẻ xanh shop giao kẻ đen. tất cũng không giống hình.,4,,1,1,0
hàng xấu hơn so với ảnh. bộ trắng sữa không kiểu cách như trong ảnh,4,,0,0,1
cũng rất là ok,4,,0,0,2
"chất vải xấu, không giống ảnh",4,,0,0,1
gần giống hình mẫu,4,,0,0,2
chất không được đẹp mấy,4,,0,0,2
không dày dặn như ảnh,4,,0,0,1
áo mềm nhẹ dày dặn lắm các mẹ nhé,4,,0,0,1
"không ưng lắm ,nỉ mỏng không đẹp như trên hình",4,,0,0,2
sản phẩm ok,4,,0,0,1
vải hơi mỏng nhưng so với giá vậy là ok rồi,4,sâu shop -thời trang cho bé xin cảm ơn quý khách đã tin tưởng và ủng hộ sản phẩm của shop. chúc quý khách có những trải nghiệm mua sắm vui vẻ trên shope và ủng hộ shop lâu dài ạ,0,0,1
đáng yêu,4,,0,0,2
đẹp,4,,0,0,1
ok,4,,0,0,2
chất xấu nha. Không như hình được cái giao hàng nhanh,4,,0,1,1
cũng ok,4,,0,0,2
"chất ok về giá tiền, sản phẩm đẹp",4,,0,0,2
đặt mua 4 bộ nhưg bộ lót nỉ chân hơi ngắn tay thì vừa với bé. 2 bộ coton thì ok. mình nghĩ caravat liền áo hóa ra rời,4,cảm ơn anh chị xuanthinh121286 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
hàng đẹp nhưng chất hơi mỏng ,4,cảm ơn anh chị trinhvananh2408 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"cũng tạm ổn, mau hai bộ thì một bộ khuy đóng hơi lệch, bộ còn lại thì ok",4,,0,0,2
"hình ảnh chỉ mang tính chất nhận xu. nhưng sản phẩm đẹp phù hợp với giá tiền, giao hàng nhanh. có điểm trừ là giặc ra màu, mình giặc 3 nước rồi nhưng vẫn ra màu.",4,,0,1,1
hàng ok,4,cảm ơn anh chị rc17g73ve9 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,2
chất lượng vải bình thường,4,cảm ơn anh chị ge13dcdyhy đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,2
kể mà vải không bị phai màu đỏ thì tốt quá,4,,0,0,1
"coton giấy vải chưa giặt thì hơi cứng, không biết giặt xong có mềm không tại chưa sử dụng loại vải này lần nào. mình đặt size 2 mà giao size 3. mà mình đo với size 2 của mẫu khác thì áo nhỏ hơn quần to hơn",4,,0,0,1
"giao hàng nhanh, hàng tạm được rẻ tiền",4,,0,1,2
"shop soạn hàng nhanh và đầy đủ, đúng màu, không biết đúng size không sao thấy rộng quá, vải hơi khô tí, rất đáng mua sẽ ủng hộ shop lần sau",4,,0,1,1
"vải mát, nhưng sờ vào cứ có gợn cứng cứng không thích hợp cho da bé lắm.",4,,0,0,2
sản phẩm ổn vải hơi nóng,4,,0,0,2
vải coton giấy chưa giặt thấy cứng không biết giặt có mềm hơn không nữa. mà mình đặt cho bé gái 2 bộ cùng loại mà shop giao luôn cùng 1 màu xanh thấy không ưng ý chút nào,4,,0,0,1
"vải hơi thô, chỉ thừa nhiều, tiền nào của đó. giao hàng nhanh.",4,,0,1,1
"shop soạn hàng nhanh và đầy đủ, đúng màu,vải mỏng hơi khô tí, rất đáng mua sẽ ủng hộ shop lần sau",4,,1,0,2
shop bán đồ nhìn cũ. bị tưa chỉ nhiều. mua 1 lần thôi ạ,4,cám ơn chị thu trinh đã tin tưởng và ủng hộ shop. rất xin lỗi chị vì không mang lại trải nghiệm tốt khi mua sắm tại shop ạ. tuy nhiên về sản phẩm nhìn cũ tuỳ không biết trong các đơn hàng chị mua nhiều sản phẩm thì sản phẩm nào chị cảm thấy cũ thì có thể báo shop đổi hàng hoặc hoàn tiền cho mình nhé chị (do shop cũng nhận được cùng 1 phản hồi này ở các sản phẩm khác chị mua). shop cam kết hàng mới 100% và màu sắc hàng thực tế như hình ạ. ,0,0,1
"vốn vải mỏng và hơi cứng như shop nói, nên nếu in màu lên sẽ có một số áo cứng hơn một phần nữa. trừ 1 sao vì độ thô của áo. còn độ bền và hút ẩm thì đánh giá sau",4,,0,0,1
shop giao đúng mẫu sản phẩm hơi mỏng chất bông không dày lắm giao hàng nhanh cảm ơn shop nhé,4,,1,1,0
"áo đẹp ,dày ấm vải mềm , bé mặc rất yêu mỗi tội lúc mua không để ý là cài khuy ,thấy bất tiện lúc mặc cho bé ,khuy mặc vào cho bé hay tuột ra nên trừ 1 sao",4,,0,0,1
có 2 cúc trên cổ mà không thấy có yếm .sản phẩm phù hợp với giá tiền ,4,dạ có cái yếm nhỏ kèm trong túi quần áo đấy ạ. khách kiểm tra giúp em xem lúc lấy ra có rơi rớt ở đâu không ạ. bộ nào cũng có yếm ạ,0,0,1
size không chuẩn lắm. bé nhà mình 5 cân rưỡi mà mặc hơi ngắn size 6-8 cân,4,,0,0,1
màu hơi nhạt so với ảnh bé nhà mình 6kg lấy size 7-9kg mặc hơi cọc,4,,0,0,1
"đồ tương ứng trong tầm giá. vải mềm, chất vải cận như hình. đã giặt rồi, không bị ra màu.",4,cảm ơn anh chị l*i đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
shop giao hàng nhanh. sản phẩm chất lượng không tốt lắm. mọi người cân nhắc khi mua.,4,cảm ơn anh chị fire_fly_2412 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,1,1
"bộ dài tay kiểu học sinh vải mềm khá dễ thương, có điều cà vạt rời khó mà sử dụng cho trẻ sơ sinh",4,cảm ơn anh chị y*n đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
với giá thành này thì cũng khá oke. chấ vải hợp với giá tiền,4,cảm ơn anh chị thydngtrnh đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
hơi nhiều chỉ thừa chất lượng sản phẩm phù hợp giá tiền thôi nhé,4,cảm ơn anh chị n*e đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
chất vải khá mỏng! Sản phẩm như hình! nhưng mua đợt sale nên giá hợp lý. ,4,cảm ơn anh chị tran.vui đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
sản phẩm không giống hình lắm đường chỉ thưa không chắc chắn lắm mình đặt size 2 thấy dán size 2 mà mở ra thì là size 1 không biết thế nào . nhưng giá đó thì chấp nhận được nè nên mình trừ 1* nhé,4,cảm ơn anh chị m*2 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,2
"với giá như thế này không đòi hỏi nhiều, như vậy là quá ok rồi.",4,cảm ơn anh chị lt1097 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"giao hàng không nhanh, gói hàng cẩn thận, chất liệu vải bình thường. chỗ dưới cùng chân quần bị trật và ngắn với bé 10,5kg. cúc quần vào hở bỉm, nói chung là hàng kiểu gia công.",4,cảm ơn anh chị thanhlam842017 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,1,2
bộ này thực chất là màu trắng xám chứ không phải đen trắng như shop nói ạ. chất cũng tạm ổn . nhưng màu không đúng nên hơi thất vọng chút. giao hàng nhanh.,4,cảm ơn anh chị t.2312 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,1,1
"giao hàng tương đối nhanh. nhiều chỉ thừa. hình cute, chất vải bình thường. giá như thế là ổn. mẫu bộ công tử không giống hình. nơ hình màu xanh đậm, mà nơ cổ áo nhận được màu ghi, dây cũng không dài bằng",4,,0,1,1
bộ rộng hơn mình tưởng tượng chất cũng mềm tay giao hàng nhanh,4,,0,1,1
áo đẹp.chân quần hơi ngắn so với bé. mặc vào chật mông,4,,0,0,1
"với giá này thì chất liệu cũng khá ok. giao hàng nhanh, shipper nhanh nhẹn nhiệt tình",4,,0,1,1
"hơi thất vọng, chất vải mỏng xấu, đường may lộ liễu không chắc chắn,",4,cảm ơn anh chị tamagochan2403 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
chất lượng sản phẩm oke. vải được nhưng form có vẻ hơi bé. mình lấy từ 9-12kg mà bé nhà mình tầm 9kg mặc vừa. đũng hơi ngắn. sợ bé nào hơn 9kg mặc sẽ chật. thời gian giao hàng siêu nhanh.,4,cảm ơn anh chị ndhai đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,2
"sản phẩm hợp với tiền nên mua, đẹp lắm ",4,cảm ơn anh chị hoangthinuong080597 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"vải áo dày dặn, đẹp, nhưng 2 cái dây áo kia bị lại là 2 cái khác nhau với 1 bên dây áo trũng ( cũng được nha)",4,cảm ơn anh chị mauhoang203 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
đặt 11/11 mà tới tháng 12 mới đóng gói. mẫu mình đặt thì hết( hình1) đổi mẫu khi nhận được thì hơi thất vọng vì đường chỉ quần màu trắng không phải màu xanh như hình. mong shop để ý hơn khi giao đồ,4,cảm ơn anh chị bitran1bitran đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,2
"không giống hình cho lắm , cổ trên mẫu màu trắng mà ngoài lại màu đen, chất liệu cũng bình thường , nói chung với giá như vậy cũng không đòi hỏi nhiều",4,,0,0,2
"cổ áo nhăn nhúm, 2 bên nếp gấp bị dính màu do phai ra. chỉ và đường may ẩu. nói chung tiền nào của nấy",4,cảm ơn anh chị n*4 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
được 1 bộ không phai màu. còn lại giặt bị lem màu hết. shop nên giặt vải màu trước khi may,4,cảm ơn anh chị duybui1980 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
nhìn tuy không giống hình. nhưng về tính chất tạm ok. Còn chất lượng thì tạm ổn,4,cảm ơn anh chị pxpng76_rv đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
hàng đẹp mà ca vat là 1 sợi vài. chả hỉu thắt kiểu nào cho bé được,4,cảm ơn anh chị mt120910 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
sản phẩm thì ok chất lượng nhưng bộ trắng số 3 con mình mặc vừa bộ vàng số 4 vải hơi dày mua này mặc ấm nhưng lại chật,4,cảm ơn anh chị trucanhaugiang đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"mình mua tổng 5 bộ, khá nhiều chỉ thừa, có bộ vải trắng mà bị bẩn hơi lem nhem. nói chung giá rẻ nên chấp nhận được",4,,0,0,1
gửi size to mặc rộng,4,,0,0,2
"1 cái bị lỗi ,shop đã chuyển khoản lại tiền.",4,,1,0,1
nhưng mà giao hàng rất lâu,4,cảm ơn anh chị vinh1532003 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,1,0
áo màu trắng không được trắng lắm.màu bị cũ,4,cảm ơn anh chị thanhtu27061995 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
vải đẹp nhưng bị thiếu khuy 1 bộ shop không rep ib,4,cảm ơn anh chị thaohuongnguyen0987 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
đường may xấu,4,,0,0,2
"chất liệu được, form rộng lắm cổ áo đằng trước lại là chỗ may nối ? củ chuối không thể tả , nói chung nhìn kĩ không giống 100% ảnh mẫu tiền nào của nấy",4,,0,0,1
shop giao 2 bộ đồ vừa nhưng nón thì 1 cái quá nhỏ 1 cái quá lớn,4,,0,0,1
"giá thì rẻ nên không đòi hỏi nhiều được . mình mua bộ màu đỏ định cho con mặc noel nhưng giặt thì ra màu quá . chắc ráng cho con mặc 1 lần rồi bỏ thôi , trẻ nhỏ mặc vải ra màu không tốt lắm . mom nào mua cho con mặc mua màu trắng để hạn chế ra màu vậy .",4,,0,0,1
tạm ổn,4,,0,0,2
bộ đỏ giặt đi giặt lại vẫn bị ra sợi vải,4,,0,0,1
ảnh video để đánh giá lấy xu áo thì vừa mà quần nhỏ quá vải thì ok nói chung là được chỉ có cái là quần nhỏ quá thôi.,4,,0,0,2
"vải mềm mịn mát hợp với da bé. mua 3 bộ, 2 bộ rất đẹp rất hài lòng, nhưng 1 bộ màu xám quần bé có dấu chỉ tháo ra may lại nên bị rách 2 lỗ, hy vọng shop kiểm tra hàng trước khi giao cho khách.",4,,1,0,1
chất lượng hàng thì khá là ok phù hợp với giá tiền. giao hàng hơi chậm. shipper nói chuyện dễ ghét kiểu như không cần giao hàng,4,,0,1,1
hàng thì vải được. thun co giãn nên mặc dễ chịu. chỉ có shop gửi hàng quá lâu nên mình trừ 1 sao.,4,,0,1,1
"chất thích nhưng form nhỏ, ngắn, đóng gói cẩn thận, shop không nhiệt tình đổi size",4,,1,0,1
"cùng 1 size mà 2 áo bằng nhau, 2 quần lại chênh nhau khá nhiều. 1 quần ghi size 3, 1 quần không ghi gì. vải đẹp nên cho 4*",4,,1,0,0
"đóng gói chắc chắn, chất vải tạm được nhưng với giá này thì chấp nhận được",4,,0,0,1
"chất vải khá mềm và mát, phù hợp với giá tiền, giao hàng hơi lâu",4,,0,1,1
giao nhầm cả 2 bộ đặt 1 kiểu giao 1 kiểu. nhưng vì chất cũng được vì giá như này không yêu cầu,4,,0,0,1
đã nhận được hàng. ship cũng tỉnh mà hơi lâu. mua 3 bộ mặc được 1 bộ. 2 bộ ghi zise dành cho bé 16 kí mà mặc không vừa chặt đũng ngắn .các mẹ mua cho con lưu ý. thôi vẫn cho shop 5*,4,,0,1,1
"shop giao đúng mầu đúng size, nhưng hơi rộng tí so với cân. đường may cũng không chắc chắn lắm. vải cũng mềm mát. mặc mùa thu thì hợp.",4,,1,0,1
"áo hơi mỏng, size hơi bé",4,,0,0,1
"áo vừa nhưng quần hơi nhỏ, mẹ nào mua nên nhích thêm 1 size để con mặc bỉm thoải mái",4,,0,0,1
sản phẩm tốt . shipper không thân thiện giao hàng rồi còn cãi với khách hàng. mong shop đánh giá shipper,4,,0,1,1
vải mỏng,4,,0,0,1
chỉ thừa nhiều vải mịn mát giao hàng nhanh,4,,0,1,1
"mình mua dịp flash sale. 200k/3 bộ cảm giác chất bình thường, bộ màu xanh vải rất cứng, nếu mặc cho bé sơ sinh thì không ổn. mong shop cải thiện chất lượng",4,cảm ơn anh chị pinkjojojo1603 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"hàng giao lâu mua 2 bộ size 1 và size 2 mà 2 bộ bằng nhau chắc gắng size cho vui, bù lại thì chất vải cũng được giá phù hợp",4,cảm ơn anh chị t*1 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
chất cũng bình thường ! mỏng chứ không dày ! co dãn cũng bình thường !,4,cảm ơn anh chị khoahongson đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"áo chất mỏng hơn mong đợi,cái chần mông không có chần bông đâu mọi người,nó mỏng lắm mặc thử thôi ,haiz nói chung là hơi thất vọng",4,cảm ơn anh chị bongshop.58 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
chất vải tạm được bộ vàng chất tăm áo bé hơn so với quần,4,cảm ơn anh chị s5ux3m6_3u đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
hình ảnh mang tính chất minh họa. giá so với vải vậy là ổn. màu không giống hình lắm,4,cảm ơn anh chị wxs6nz99sr đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"vải chất đẹp nhưng nút bấm quá ẩu, chưa mặc lần nào đã bị bung rồi",4,cảm ơn anh chị trangpham7788 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
"bộ len gân chất ok, hơi mỏng xíu",4,cảm ơn anh chị t*0 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
giao hàng nhanh chất đẹp,4,cảm ơn anh chị kieuoanhmechip đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,1,0
"chất vải là loại len tăm co dãn thoải mái .cúc là cúc bấm dựt mạnh hoặc là tháo nhiều lần sẽ bị bong cúc ra là hỏng luôn,đặt 2 size size3 mặc rộng cổ bị tễ .mọi người cân nhắc khi mua",4,cảm ơn anh chị q*2 đã tin tưởng mua hàng và dành thời gian đánh giá giúp shop. anh chị ấn theo dõi (folow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! rất hi vọng được đồng hành và phục vụ anh chị trong những đơn hàng tiếp theo ạ 💝,0,0,1
