khach_cmt,rating,shop_phan_hoi,shop,dvvc,sp
vải mỏng và rộng hơn size,3,"dạ shop có hỗ trợ đổi hàng bạn nhé , bạn nhắn tin lại cho shop nha",0,0,1
chất vải mỏng xấu,3,"dạ chào bạn . vải mỏng thì đúng ạ , mặc để thoáng mát , còn xấu thì bạn sử dụng mới biết nha",0,0,1
giao nhầm size 33   ,3,,1,0,0
mỏng hơn mình nghĩ,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,1
vải khá là mỏng ,3,,0,0,1
nếu mua về mặc đẹp mình khuyên đừng nên thất vọng đó,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,1
mua 2 quần cùng size mà cái chật cái rộng  ,3,,0,0,2
vải khá mỏng ,3,,0,0,1
vải quá mỏng,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,1
tạm được,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
tạm được,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
chọn size m nhưng quần hơi dài ,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,2
vải xấu hơn những chỗ khác ngang giá,3,,0,0,2
"vải mỏng, khác hình nhưng đúng giá",3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,1
tạm ổn,3,,0,0,1
nhiều chỉ thừa,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,2
ổn,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,2
rộng quá,3,,0,0,2
vải móng toét,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,1
quần khá mỏng và nóng,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,2
"đặt 2 quần cùng size 34 về,1 cái ngắn,1 cái dài",3,,0,0,2
tạm,3,,0,0,2
vải mỏng,3,,0,0,2
quần mỏng,3,dạ cảm ơn bạn đã đánh giá 3 sao cho shop ạ . bạn bấm folow theo dõi shop để nhận mã giảm giá và các chương trình sale tới nhé . nếu có gì chưa hài lòng bạn cứ nhắn tin với shop để được hỗ trợ nha,0,0,2
"quần bé quá, mông thì đã bé rồi",3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,2
giao hàng lâu quá,3,,0,1,0
mua nhầm size. huhu,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
quần hơi mỏng nhưng với giá này thì ok rồi ,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,2
vải hơi mỏng   nhiều chỉ thừa,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,2
tạm vải mỏng,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
tạm ổn,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
mỏng hơn quần trước ,3,,0,0,2
vải nhăn,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
vải không đẹp lắm,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
"vải không như hình , thô ráp",3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
hơi mỏng xấu không tiền nào của nấy thôi ,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
quần tạm,3,,0,0,2
vải mỏng như lá lúa,3,,0,0,1
chất vải hơi mỏng .,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
tôi chọn đúng size của tôi rồi mà quần chật quá,3,,0,0,1
phần đùi khá chật,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,2
"quần mỏng quá, mặc được ổn",3,,0,0,2
quá mỏng,3,,0,0,2
quá rộng,3,,0,0,2
có chút mỏng vải kiểu gì mà bung như bông,3,,0,0,1
giao hàng hơi lâu,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,1,0
tạm ổn,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
tạm được,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
không vừa ý lắm,3,,0,0,1
tạm được,3," shop đã nhận được đánh giá của bạn , rất xin lỗi bạn vì sản phẩm khiến bạn chưa hài lòng ạ . mong bạn hãy nhắn tin lại cho shop để được hỗ trợ đổi, hoàn trả hàng hoặc thỏa thuận theo yêu cầu của bạn nha mong bạn sửa đánh giá lên 5 sao giúp shop với ạ .",0,0,1
quần bị ố bẩn nhưng shop phục vụ rất tốt khuyến khích cho 3 sao,3,"shop rất xin lỗi bạn về sự cố này. rất mong bạn thông cảm giúp shop. shop đã gửi tin nhắn trao đổi và giải quyết khiếu nại luôn ạ, bạn vui lòng check ib nhé",0,0,2
quần size s gì mà eo to đùng như 80   vải mỏng mỏng nhưng tạm chấp nhận ạ khuyên shop nên đổi đơn vị vận chuyển chứ shipper thái độ rõ luôn ý ạ   shop đừng để vì shipper mà mất khách ạ ,3,"dạ shop rất cảm ơn bạn ạ, shop rất muốn chất lượng đêns tay khách hàng luôn là tốt nhất ạ. còn bên giao hàng có thái độ khiến bạn chưa vừa lòng thì shop sẽ ý kiến lại ạ. rất cảm ơn bạn! chúc bạn luôn vui tươi.",0,1,2
quần form xấu ống thì rộng quá mà ngắn ngắn eo thì rộng chà bá lửa mua được cái vải đẹp thôi,3,"chào b, ngay tiêu đề của sản phẩm shop đã ghi rất rõ ""jeans ống suông, rộng"" vậy mà b lại nói quần rộng quá ? b ngang trái quá đấy ạ ! shop có liên hệ trao đổi sản phẩm với b nhưng không nhận được phản hồi. kb b ở shop nào có mục đích j mà đánh giá hạ thấp uy tín của shop như vậy",0,0,2
"màu quần khác so với ảnh, nhưng mặc ok đấy, form chuẩn, rep tin nhắn khách hàng nhanh. với giá tiền này thì không hợp lắm, hơi chát.",3,"chào bạn! quần bên mình là chất jeans dày dặn màu và form y ảnh, kb b chưa hài long ở điểm nào vậy ạ? người ta có câu ""nói có sách, mách có chứng"" b nhé. b không đưa ra nổi một cái bằng chứng j thì đừng nói vậy! shop có liên lac với b về sản phẩm nhưng không nhận được phản hồi. kb b ở shop nào có mục đích j mà đánh giá hạ thấp uy tín của shop như vậy?",1,0,2
"sản phẩm tốt, nhưng mà quần quá rộng không hài lòng lắm.",3,"chào b, ngay tiêu đề của sản phẩm shop đã ghi rất rõ ""jeans ống suông, rộng"" vậy mà b lại nói quần rộng quá ? b ngang trái quá đấy ạ ! shop cũng rất thoải mái trong việc đổi trả nhưng b vẫn ok mặc được vậy mà b đánh giá shop như vậy thì cũng chịu ạ. kb b ở shop nào có mục đích j mà b lại đánh giá hạ thấp uy tín shop như vậy nữa ?",0,0,2
quần có vẻ đẹp dày dặn ít chỉ thừa nhưng mà to quá size s mà mình tưởng đâu l với xl không ý,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về vấn đề size sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
video không liên quan đâu. nhưng mình muốn nói về sản phẩm màu về không giống trong hình giao hàng nhanh chất vải cũng tốt nói chung là bình luận này không có ý nghĩa gì cả cảm ơn các bạn đã đọc  ,3,"shop có nhắn tin và gọi điện cho b nhiều lần nhưng không thấy bạn phản hổi lại ạ. dạ, không biết sản phẩm bên shop có vấn đề gì khiến bạn chưa hài lòng ạ? mong được bạn góp ý để shop được cải thiện sản phẩm và phục vụ bạn lần sau tốt hơn ạ",0,1,2
"màu hơi khác hình, giao hàng nhanh đóng gói tốt nhưng tại sao màu khác thế",3,"shop có nhắn tin và gọi điện cho b nhiều lần nhưng không thấy bạn phản hổi lại ạ. dạ, không biết sản phẩm bên shop có vấn đề gì khiến bạn chưa hài lòng ạ? mong được bạn góp ý để shop được cải thiện sản phẩm và phục vụ bạn lần sau tốt hơn ạ",0,1,1
quần form dáng không giống hình màu xấu hụt hẫng ,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
phù hợp giá,3,"ôi khách yêu ơi shop nhắn tin cho bạn suốt mà bạn không trả lời làm shop cũng không biết bạn đang gặp vấn đề gì để hỗ trợ bạn nữa uhuhu mong các bạn khách đáng iu nếu gặp bất cứ vấn đề gì về sản phẩm có thể liên hệ shop để được hỗ trợ nha. chăm sóc khách hàng hơi bị nhiệt tình đó nhá, mà các bạn chả chịu nhắn tin cho shop gì huhuhu",0,0,1
quần không đúng mô tả ống này chỉ rộng hơn quần bò bình thường một chút chứ có phải quần ống rộng đâu,3,"chào phamphuc3104 xin cám ơn đánh giá của bạn. chúng tôi rất vui vì bạn đã tin tưởng sử dụng sản phẩm của shop. chúng tôi luôn hy vọng mang lại sự hài lòng cho quý khách hàng, chúc bạn luôn vui vẻ và tiếp tục ủng hộ shop ạ!",0,0,2
"quần quá rộng,muốn hoàn trả không được.còn vải thì cũng mềm.màu như hình",3,"chào b, ngay tiêu đề của sản phẩm shop đã ghi rất rõ ""jeans ống suông, rộng"" vậy mà b lại nói quần rộng quá ? b ngang trái quá đấy ạ ! size do b tự tay chọn tự tay đặt và shop đã gửi đúng size cho b rồi ? kb b ở shop nào có mục đích j mà b lại đánh giá shop như vậy nữa ?",0,0,2
vải bị xù,3,"chào bạn!hàng của shop đều được kiểm tra kỹ càng và đóng gói cẩn thận trước khi gửi đi, bạn vui lòng quay lại video r gửi qua ib cho shop ạ, nếu lỗi bên mình thì bên mình sẽ có trách nhiệm đổi trả fre phí cho bạn ạ !",0,0,1
chất quần đẹp. mỗi tội shop tư vấn nhầm size mình m58 51kg mặc size m rất rộng luôn,3,,1,0,2
"đợi hàng rõ lâu nhưng về lại thất vọng cực kì , quần không hề xuông  ",3,"chào ngocbaoanh0810 xin cám ơn đánh giá của bạn. chúng tôi rất vui vì bạn đã tin tưởng sử dụng sản phẩm của shop. chúng tôi luôn hy vọng mang lại sự hài lòng cho quý khách hàng, chúc bạn luôn vui vẻ và tiếp tục ủng hộ shop ạ!",0,1,2
quần cũng được. 1m7 nặng 64kg mặc xl vừa đẹp. shop giao hàng muộn. còn lại ok,3,"chào bạn!hàng của shop đều được kiểm tra kỹ càng và đóng gói cẩn thận trước khi gửi đi, bạn vui lòng quay lại video r gửi qua ib cho shop ạ, nếu lỗi bên mình thì bên mình sẽ có trách nhiệm đổi trả fre phí cho bạn ạ !",0,1,2
tạm ổn thôi. vì eo quá rộng. size không chuẩn như bảng chọn,3,"chào bạn! b nhận hàng có gì không vừa lòng b vui lòng phản hồi lại giúp mh bên mình có liên lạc với bạn r đó ạ.quần size b chọn theo chiều cao cân nặng của b ,b cũng có thể tự lùi hoặc nhich lên 1 size mặc không vừa thì sao đổ lỗi cho shop được b.b phản hồi giúp shop để shop hỗ trợ nhé",0,0,2
"size mô tả không chuẩn lắm, mình cao 1m75 nặng 65kg mặc xl chật, đùi bó, ống quần thì ok",3,"shop rất xin lỗi bạn về sự cố này. rất mong bạn thông cảm giúp shop. shop đã gửi tin nhắn trao đổi và giải quyết khiếu nại luôn ạ, bạn vui lòng check ib nhé",0,0,2
sản phẩm không giống trong hình chút nào ạ nó không theo màu như trong hình còn đường chỉ quần thì lại chéo với lại hàng về hơi lâu nữa em không hài lòng về sản phẩm ạ hình ảnh mang tính chất nhận xu,3,"chào b! quần bên shop đảm bảo chất jeans dày dặn màu và form y ảnh, kb b chưa hài lòng ở điểm nào vậy ạ? người ta có câu '""nói có sách, mách có chứng"" b nhé. b không đưa ra nổi một cái bằng chứng j thì đừng nói vậy! shop gửi đúng size đúng mẫu cho b. shop có liên hệ với b về sản phẩm nhưng không nhận được phản hồi. kb b ở shop nào có mục đích j mà đánh giá hạ thấp uy tín của shop như vậy ạ?",0,0,2
vải mỏng quá ạ nhưng tầm giá đó thấy cũng ok,3,shop chào b! sản phẩm bên mình là quần jeans dày dặn.quần bên mình sản xuất nên đã chọn chất vải rất kỹ chứ không hề mỏng như b nói nhé.b vui lòng quay lại sản phẩm và gửi cho bên mình.nếu đúng do lỗi của shop shop sẽ tự chịu trách nhiệm nhé,0,0,1
"màu không giống ảnh , 1 số chỗ bị bẩn , ống quần bo không giống ảnh . ",3,b ơi sản phẩm bên mình có vấn đề gì b ib shop để được hỗ trợ thêm nha,0,0,2
cũng được nhưng mà màu bên ngoài sáng quá so với trong ảnh,3,"dạ sản phẩm có vấn đề gì vậy b, b check ib shop để được shop hỗ trợ nha !",0,0,2
shop gửi hàng bị lỗi,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",1,0,0
  hên chưa mặc ra đường,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,0
mua size xl to quá không mặc vừa,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,1
chất quần rất ổn nhưng cạp quần thấp cực quần không rộng chỉ dài thôi  ,3,shop xin cám ơn những góp ý của bạn để shop có thể cải thiện sản phẩm của mình được tốt hơn ạ. mong bạn tiếp tục theo dõi và ủng hộ cho shop ạ,0,0,2
chất cũng ok nhưng túi quần màu vàng thì mình không thích cho lắm,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
chất vải ổn nhưng màu không giống hình.hình là màu xanh nhạt nhưng khi giao màu quần nhìn rất cũ,3,"chào nhu_thao_mai_12 xin cám ơn đánh giá của bạn. chúng tôi rất vui vì bạn đã tin tưởng sử dụng sản phẩm của shop. chúng tôi luôn hy vọng mang lại sự hài lòng cho quý khách hàng, chúc bạn luôn vui vẻ và tiếp tục ủng hộ shop ạ!",0,0,2
"quần nhận đến tay chật huhu, nhưng đổi size lại mất ship nên thôi đành chịu. chất quần cũng ok, không thích mỗi phần cạp quần ngắn, lên dáng không đẹp",3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
"hàng tạm ổn túi quần rách 1 mảng,khá nhiều chỉ thừa",3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
mình thấy không hài lòng lắm về phần màu sắc của chiếc quần vì trên video màu xanh bạc còn nhận hàng về là màu xanh đậm mọi người ạ ,3,"chào bạn!hàng của shop đều được kiểm tra kỹ càng và đóng gói cẩn thận trước khi gửi đi, bạn vui lòng quay lại video r gửi qua ib cho shop ạ, nếu lỗi bên mình thì bên mình sẽ có trách nhiệm đổi trả fre phí cho bạn ạ !",0,0,2
quần chả khác gì quần bagy mình thì không thích xanh đậm,3,"shop rất xin lỗi bạn về sự cố này. rất mong bạn thông cảm giúp shop. shop đã gửi tin nhắn trao đổi và giải quyết khiếu nại luôn ạ, bạn vui lòng check ib nhé",0,0,2
quần hơi nhìu chỉ thừa 1 chút,3,"shop cám ơn b đã mua hàng bên shop ạ dạ xin lỗi bạn vì sự sơ xuất này ạ, b giúp shop cắt bớt chỉ thừa ở quần ạ hic, chỉ vì quần có nhiều chỉ thừa mà bạn đánh giá 3* cho sản phẩm này thực sự là không xứng ạ  ",0,0,2
size l nhưng quần như quần con gái nói chung ống quần nhỏ hơi thất vọng,3,xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về việc đổi trả sản phẩm ạ. bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ,0,0,2
"quần không xuông 1 tí nào,như quần bagy .màu thì nhạt. 1m7 nên mặc xl rồi về cắt ống",3,xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về việc đổi trả sản phẩm ạ. bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ,0,0,2
"đặt xl về to quá mức   chắc phải mang đi sửa, mình m6 mặc đến cổ chân. nhìn quần thì cảm giác cũ cũ kiểu gì ý, cái da khâu vào quần bị nhăn hết xong còn bị dờn hết màu đi",3,"chào bạn!hàng của shop đều được kiểm tra kỹ càng và đóng gói cẩn thận trước khi gửi đi, bạn vui lòng quay lại video r gửi qua ib cho shop ạ, nếu lỗi bên mình thì bên mình sẽ có trách nhiệm đổi trả fre phí cho bạn ạ !",0,0,2
quần ống hơi bé so với hình. chưa hẳn là ống suông,3,xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về việc đổi trả sản phẩm ạ. bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ,0,0,2
quần khá dày dặn nhưng màu sáng hơn so với ảnh,3,b check ib shop để được hỗ trợ nha,0,0,2
màu thì cũng tạm được mà độ rộng thì chưa phù hợp với độ dài nha .,3,"shop xin cám ơn những góp ý của bạn để shop có thể cải thiện sản phẩm của mình được tốt hơn ạ. mẫu quần b đặt là form rộng, dáng suông b nhé. tùy từng dánh người mặc quần lên dáng cũng khác ạ. mong bạn tiếp tục theo dõi và ủng hộ cho shop ạ",0,0,1
với 100k thì hợp lí không đòi hỏi nhưng mà có vài chỗ bị lỗi,3,"sản phẩm của shop bán ra đều được đổi trả với mọi lý do , do vậy b check ib để shop tư vấn và hỗ trợ ạ !""",0,0,1
quần mình không ưng cho lắm,3,,0,0,2
vải mỏng,3,,0,0,1
quần mỏng vải chán đời,3,chào b! quần jeans bên shop đảm bảo chất jeans dày dặn và không hề mỏng như b nói đâu nhé. shop có liên hệ với b về sản phẩm nhưng không nhận được phàn hồi. kb b ở shop nào có mục đích j mà đánh giá hạ thấp uy tín của shop như vậy?,0,0,2
màu hơi nhạt,3,chào b ! mỗi lô hàng về là một sự cải thiện sản phẩn theo yêu cầu của đa số các khách hàng. shop có liên hệ trao đổi với b về sản phẩm nhưng không nhận được phản hồi. bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ,0,0,1
màu chưa được giống hình . ok so với giá,3,"chào bạn! quần bên mình là chất jeans dày dặn màu và form y ảnh, không biết b còn chưa hài long ở điểm nào vậy ạ ? người ta có câu '""nói có sách, mách có chứng"" bạn nhé. bạn không đưa ra nổi một cái bằng chứng j thì đừng nói vậy ! shop có liên hệ với b về shop nhưng không nhận được phản hồi của b. kb b ở shop nào có mục đích j mà đánh giá hạ thấp uy tín của shop như vậy?",0,0,2
quần hơi ngắn,3,"chào b! shop có liên hệ với b về sản phẩm nhưng không nhận được phản hồi từ b, b check ib để shop hỗ trợ b ạ. mong được phục b tốt hơn cho đơn hàng tiếp theo ạ",0,0,2
"sản phẩm ngắn , không đúng như bảng size",3,"bạn ơi  quần b tự chọn size mà b? shop giao đúng rồi, không không nhờ shop tư vấn giờ b đổ cho shop thế được à  quần ống suông thì chả nhẽ lại bó vào hả b? nhắn tin không thèm trả lời, gọi điện thì tắt máy ngang .mình đảm bảo đây không phải do lỗi của shop nhé. mong b tự xem lại bản thân b đi nhé ",0,0,1
size l chân ngắn,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
đặt quần xuông giao bagy   khó chịu  ,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
lưng quần thì vừa mà ống bự ,3,"xin lỗi bạn về sự cố không mong muốn ạ. bên shop đã liên hệ với bạn trao đổi về sản phẩm ạ. shop có gọi điện và nhắn tin cho b , nhưng không thấy b phản hồi lại.bạn kiểm tra tin nhắn giúp shop nhé. mong được phục vụ bạn lần sau tốt hơn ạ",0,0,2
xấu,3,"chào bạn!hàng của shop đều được kiểm tra kỹ càng và đóng gói cẩn thận trước khi gửi đi, bạn vui lòng quay lại video r gửi qua ib cho shop ạ, nếu lỗi bên mình thì bên mình sẽ có trách nhiệm đổi trả fre phí cho bạn ạ ! cảm nhận đánh giá sản phẩm mang tính chất chủ quan b ạ, mong b có cái nhìn khách quan hơn về sản phẩm giúp shop ạ",0,0,2
form không giống hình,3,"chào klepeounu xin cám ơn đánh giá của bạn. chúng tôi rất vui vì bạn đã tin tưởng sử dụng sản phẩm của shop. chúng tôi luôn hy vọng mang lại sự hài lòng cho quý khách hàng, chúc bạn luôn vui vẻ và tiếp tục ủng hộ shop ạ!",0,0,1
